name,country,subcountry,geonameid
Seremban,Malaysia,Negeri Sembilan,1734810
Port Dickson,Malaysia,Negeri Sembilan,1734815
Sepang,Malaysia,Selangor,1734821
Taman Senawang Indah,Malaysia,Negeri Sembilan,1734826
Bahau,Malaysia,Negeri Sembilan,1734839
Kuala Pilah,Malaysia,Negeri Sembilan,1734841
Rembau,Malaysia,Negeri Sembilan,1734854
Batu Anam,Malaysia,Johor,1734881
Rompin,Malaysia,Negeri Sembilan,1734883
Gemas,Malaysia,Negeri Sembilan,1734885
Pekan,Malaysia,Pahang,1734971
Mentakab,Malaysia,Pahang,1735018
Temerluh,Malaysia,Pahang,1735022
Kampung Teluk Air Tawar,Malaysia,Penang,1735069
Batu Feringgi,Malaysia,Penang,1735074
Butterworth,Malaysia,Penang,1735076
Perai,Malaysia,Penang,1735077
Bukit Mertajam,Malaysia,Penang,1735079
Nibong Tebal,Malaysia,Penang,1735086
Parit Buntar,Malaysia,Perak,1735089
Kuala Kurau,Malaysia,Perak,1735092
Tasek Glugor,Malaysia,Penang,1735093
Balik Pulau,Malaysia,Penang,1735096
Bayan Lepas,Malaysia,Penang,1735102
George Town,Malaysia,Penang,1735106
Hulu Yam Lama,Malaysia,Selangor,1735147
Serendah,Malaysia,Selangor,1735148
Rawang,Malaysia,Selangor,1735150
Sungai Buloh,Malaysia,Selangor,1735153
Petaling Jaya,Malaysia,Selangor,1735158
Kuala Lumpur,Malaysia,Kuala Lumpur,1735161
Setapak,Malaysia,Selangor,1735162
Batu Caves,Malaysia,Selangor,1735166
Ampang,Malaysia,Kuala Lumpur,1735168
Hulu Langat,Malaysia,Selangor,1735172
Hutan Melintang,Malaysia,Perak,1735188
Sungai Besar,Malaysia,Selangor,1735199
Kuantan,Malaysia,Pahang,1735227
Sungai Siput,Malaysia,Perak,1735265
Batu Gajah,Malaysia,Perak,1735268
Kampar,Malaysia,Perak,1735274
Tapah Road,Malaysia,Perak,1735282
Bidur,Malaysia,Perak,1735287
Mukah,Malaysia,Sarawak,1735339
Tatau,Malaysia,Sarawak,1735404
Parit,Malaysia,Perak,1735433
Lumut,Malaysia,Perak,1735450
Sitiawan,Malaysia,Perak,1735453
Teluk Intan,Malaysia,Perak,1735459
Gurun,Malaysia,Kedah,1735485
Yan Besar,Malaysia,Kedah,1735489
Sungai Petani,Malaysia,Kedah,1735498
Kepala Batas,Malaysia,Penang,1735506
Pasir Puteh,Malaysia,Kelantan,1735545
Tanah Merah,Malaysia,Kelantan,1735553
Kuala Krai,Malaysia,Kelantan,1735572
Kuching,Malaysia,Sarawak,1735634
Simunjan,Malaysia,Sarawak,1735681
Sri Aman,Malaysia,Sarawak,1735799
Sarikei,Malaysia,Sarawak,1735837
Maradong,Malaysia,Sarawak,1735851
Julau,Malaysia,Sarawak,1735889
Sibu,Malaysia,Sarawak,1735902
Pakan,Malaysia,Sarawak,1735963
Kangar,Malaysia,Perlis,1736278
Changloon,Malaysia,Kedah,1736284
Jitra,Malaysia,Kedah,1736302
Kuala Kedah,Malaysia,Kedah,1736305
Alor Setar,Malaysia,Kedah,1736309
Tokai,Malaysia,Kedah,1736314
Pokok Sena,Malaysia,Kedah,1736338
Wakaf Baharu,Malaysia,Kelantan,1736366
Pasir Mas,Malaysia,Kelantan,1736372
Kota Bharu,Malaysia,Kelantan,1736376
Kudat,Malaysia,Sabah,1736458
Saratok,Malaysia,Sarawak,1736760
Daro,Malaysia,Sarawak,1736781
Engkilili,Malaysia,Sarawak,1736870
Betong,Malaysia,Sarawak,1736902
Dalat,Malaysia,Sarawak,1736929
Kanowit,Malaysia,Sarawak,1736973
Lundu,Malaysia,Sarawak,1737012
Kapit,Malaysia,Sarawak,1737185
Niah,Malaysia,Sarawak,1737247
Belaga,Malaysia,Sarawak,1737314
Bintulu,Malaysia,Sarawak,1737486
Sebauh,Malaysia,Sarawak,1737489
Lawas,Malaysia,Sarawak,1737589
Limbang,Malaysia,Sarawak,1737714
Marudi,Malaysia,Sarawak,1737919
Beluru,Malaysia,Sarawak,1737936
Miri,Malaysia,Sarawak,1738050
Ulu Tiram,Malaysia,Johor,1738294
Ulu Kelang,Malaysia,Selangor,1738412
Tanjung Sepat,Malaysia,Selangor,1741562
Sungai Lalang,Malaysia,Kedah,1742731
Sungai Dua,Malaysia,Penang,1742815
Seri Kembangan,Malaysia,Selangor,1744246
Serian,Malaysia,Sarawak,1744288
Seputeh,Malaysia,Kuala Lumpur,1744508
Sentul,Malaysia,Kuala Lumpur,1744763
Relau,Malaysia,Penang,1748731
Puchong,Malaysia,Selangor,1749822
Permatang Kuching,Malaysia,Penang,1750500
Peringat,Malaysia,Kelantan,1750582
Ladang Seri Kundang,Malaysia,Selangor,1750974
Pantai Remis,Malaysia,Perak,1752256
Padang Besar,Malaysia,Kedah,1753004
Lukut,Malaysia,Negeri Sembilan,1756720
Kubang Semang,Malaysia,Penang,1759378
Kuang,Malaysia,Selangor,1759486
Kuala Ketil,Malaysia,Kedah,1759564
Kepong,Malaysia,Kuala Lumpur,1760605
Klebang Besar,Malaysia,Melaka,1761242
Kampung Kangkar Teberau,Malaysia,Johor,1762110
Kampung Tanjung Minyak,Malaysia,Melaka,1763378
Kampung Tanjung Karang,Malaysia,Selangor,1763412
Kampung Sungai Kajang,Malaysia,Selangor,1763999
Kampung Sungai Glugur,Malaysia,Penang,1764027
Kampung Sungai Ara,Malaysia,Penang,1764160
Kampung Simpang Renggam,Malaysia,Johor,1764318
Kampong Sidam,Malaysia,Kedah,1764375
Kampung Selang,Malaysia,Johor,1764685
Pendang,Malaysia,Kedah,1765769
Kampong Pangkal Kalong,Malaysia,Kelantan,1766249
Kampung Minyak Beku,Malaysia,Johor,1766795
Kampong Masjid Tanah,Malaysia,Melaka,1767021
Kampung Machap Baru,Malaysia,Melaka,1767194
Kampung Kerubong,Malaysia,Melaka,1768286
Kampong Kadok,Malaysia,Kelantan,1768664
Ijok,Malaysia,Selangor,1769014
Kampong Dungun,Malaysia,Perak,1769612
Kampung Cheng,Malaysia,Melaka,1769827
Kampung Bukit Baharu,Malaysia,Melaka,1770351
Kampung Baru Subang,Malaysia,Selangor,1771023
Kampung Baharu Nilai,Malaysia,Negeri Sembilan,1771287
Kampong Baharu Cheras Batu Sebelas,Malaysia,Selangor,1771298
Kampung Baru Balakong,Malaysia,Selangor,1771304
Kampung Ayer Molek,Malaysia,Melaka,1771485
Anak Bukit,Malaysia,Kedah,1771606
Jelutong,Malaysia,Penang,1772808
Jawi,Malaysia,Penang,1772983
Cheras,Malaysia,Selangor,1777077
Bukit Tengah,Malaysia,Penang,1778252
Bukit Tambun,Malaysia,Penang,1778262
Bukit Rambai,Malaysia,Melaka,1778290
Bukit Gambir,Malaysia,Johor,1778385
Kampung Bertam Ulu,Malaysia,Melaka,1779395
Bentong Town,Malaysia,Pahang,1779790
Kampung Batu Empat,Malaysia,Johor,1780841
Batu Berendam,Malaysia,Melaka,1780890
Ayer Itam,Malaysia,Penang,1782366
Kampung Teluk Kumbar,Malaysia,Penang,1887985
Putrajaya,Malaysia,Putrajaya,6697380
Kampung Baru Ulu Melaka,Malaysia,Kedah,6804851
Sik,Malaysia,Kedah,6805124
Kampung Alor Mengkudu,Malaysia,Kedah,6807244
Kampung Hutan Arau,Malaysia,Perlis,6819209
Glugor,Malaysia,Penang,6833189
Teloi Kanan,Malaysia,Kedah,6847278
Kota Kuala Muda,Malaysia,Kedah,6847550
Cyberjaya,Malaysia,Selangor,6930887
Bandar Labuan,Malaysia,Sabah,7302815
Bercham,Malaysia,Perak,7473418
Kampung Manjoi,Malaysia,Perak,7473443
Kampung Perak,Malaysia,Pahang,7566098
Bandar Tenggara,Malaysia,Johor,7614200
Johor Jaya,Malaysia,Johor,7619704
Taman Permas Jaya,Malaysia,Johor,7619709
Kawasan Penempatan Ulu Sungai Benut,Malaysia,Johor,7620438
Kawasan Penempatan Ulu Benut Tiga,Malaysia,Johor,7620439
Kawasan Penempatan Ulu Benut Lima,Malaysia,Johor,7620470
Bandar Tun Razak,Malaysia,Pahang,7697762
Sri Petaling,Malaysia,Kuala Lumpur,7779082
Seri Manjung,Malaysia,Perak,7792200
Selayang Baru Utara,Malaysia,Selangor,7795834
Taman Seremban Jaya,Malaysia,Negeri Sembilan,7797211
Kawasan Perindustrian Cheng,Malaysia,Melaka,7797910
Taman Pelangi,Malaysia,Johor,7798288
Taman Universiti,Malaysia,Johor,7858022
Kampung Jelutong Tengah,Malaysia,Johor,7858028
Subang Jaya,Malaysia,Selangor,8504423
Iskandar Puteri,Malaysia,Johor,10063567
Putra Heights,Malaysia,Selangor,10792382
Kajang,Malaysia,Selangor,10941913
Bukit Bintang,Malaysia,Kuala Lumpur,11054399
Bandar Sunway,Malaysia,Selangor,11054411
Bandar Puncak Alam,Malaysia,Selangor,11429145
Kota Damansara,Malaysia,Selangor,12514556
Damansara Damai,Malaysia,Selangor,12514620
Kuala Nerus,Malaysia,Terengganu,12534340
Bandar Sri Damansara,Malaysia,Selangor,12535033
Selangau,Malaysia,Sarawak,12547009
Taman Petaling,Malaysia,Kuala Lumpur,12557764
Elmina,Malaysia,Selangor,12622018
Denai Alam,Malaysia,Selangor,12625525
Tropicana Indah,Malaysia,Selangor,12625526
Taman Greenwood,Malaysia,Selangor,12648574
Taman Melati,Malaysia,Kuala Lumpur,12680194
Ara Damansara,Malaysia,Selangor,12746668
Desa Parkcity,Malaysia,Kuala Lumpur,12746672
Kampung Setia,Malaysia,Selangor,12746683
Mont Kiara,Malaysia,Kuala Lumpur,12750571
Taman OUG,Malaysia,Kuala Lumpur,12750572
Taman Tun Dr Ismail,Malaysia,Kuala Lumpur,12750574
Bangsar,Malaysia,Kuala Lumpur,12750575
Seremban 2,Malaysia,Negeri Sembilan,12750582
Bukit Indah,Malaysia,Johor,12750583
Wangsa Maju,Malaysia,Kuala Lumpur,12750606
Seminyih,Malaysia,Selangor,12750607
Kuchai Lama,Malaysia,Kuala Lumpur,12750614
Bukit Gemuroh,Malaysia,Penang,12750617
Taman Melawati,Malaysia,Selangor,12750644
Perling,Malaysia,Johor,12750652
Mukim Pulai,Malaysia,Johor,12750654
Bandar Mahkota Cheras,Malaysia,Selangor,13061022
Paya Terubong,Malaysia,Penang,13100478
Bandar Tun Hussein Onn,Malaysia,Selangor,13117827
Bukit Beruntung,Malaysia,Selangor,13118055
Sibu Jaya,Malaysia,Sarawak,13118085
Petagas,Malaysia,Sabah,13118086
Setia Alam,Malaysia,Selangor,13118091
Taman Sri Sinar,Malaysia,Kuala Lumpur,13118095
Bandar Kinrara,Malaysia,Selangor,13118096
Bandar Bukit Raja,Malaysia,Selangor,13118145
Pandamaran,Malaysia,Selangor,13118146
Bandar Sri Sendayan,Malaysia,Negeri Sembilan,13118149
Bandar Country Homes,Malaysia,Selangor,13118193
Alam Damai,Malaysia,Kuala Lumpur,13118197
SS2,Malaysia,Kuala Lumpur,13118198
Sungai Jawi,Malaysia,Penang,13118223
Bandar Saujana Utama,Malaysia,Selangor,13118224
Bukit Rahman Putra,Malaysia,Selangor,13118225
Setia Tropika,Malaysia,Johor,13118228
Bandar Tasik Puteri,Malaysia,Selangor,13118229
Desa Petaling,Malaysia,Kuala Lumpur,13118230
Bukit Kerinchi,Malaysia,Kuala Lumpur,13118231
Titiwangsa,Malaysia,Kuala Lumpur,13118233
Horizon Hills,Malaysia,Johor,13118269
Bandar Putra Kulai,Malaysia,Johor,13118270
Taman Scientex,Malaysia,Johor,13118271
Bandar Seri Alam,Malaysia,Johor,13118272
FELDA Chini,Malaysia,Pahang,13118274
Bandar Baru Salak Tinggi,Malaysia,Selangor,13118276
Bandar Utama,Malaysia,Kuala Lumpur,13118277
Bukit Jalil,Malaysia,Kuala Lumpur,13118362
Taman Desa,Malaysia,Kuala Lumpur,13118381
